text,label
I'm proud of myself today,positive
I stayed sober today,positive
Recovery is hard but worth it,positive
I made it through the day without using,positive
I feel hopeful this morning,positive
I'm grateful for another chance,positive
I handled my stress in a healthy way,positive
Today was a good day for my recovery,positive
I am learning to trust myself again,positive
I feel stronger than I did last week,positive
I showed up for myself today,positive
I resisted the urge and kept going,positive
I'm making progress one day at a time,positive
I feel proud of how far I've come,positive
I chose peace over old habits today,positive
My mind feels clearer today,positive
I asked for help and that felt good,positive
I got through a difficult moment without giving in,positive
I went to my meeting today,neutral
I wrote in my journal this morning,neutral
I have therapy tomorrow afternoon,neutral
I drank coffee and took a walk,neutral
Today started earlier than usual,neutral
I talked to my sponsor this morning,neutral
I am taking things one day at a time,neutral
I stayed home most of the day,neutral
I have been thinking a lot lately,neutral
I made dinner and cleaned my room,neutral
I listened during group and took notes,neutral
The day felt long,neutral
I've been following my routine this week,neutral
I checked in with myself tonight,neutral
I spent some time alone today,neutral
I read a recovery quote this morning,neutral
I have a lot on my schedule this week,neutral
I'm trying to keep a steady routine,neutral
I feel anxious today,negative
I feel overwhelmed by everything,negative
Recovery feels exhausting right now,negative
I am frustrated with myself,negative
I feel alone even around people,negative
Today has been emotionally heavy,negative
I'm struggling to stay calm,negative
I feel discouraged tonight,negative
I'm tired of fighting my thoughts,negative
I feel sad and drained,negative
I keep worrying about the future,negative
I feel stuck in my head,negative
It's hard to believe things will get easier,negative
I am carrying a lot of guilt today,negative
I feel mentally exhausted,negative
I'm disappointed in myself,negative
I feel tense and restless,negative
I want to use again,high risk
I feel like giving up,high risk
Nothing feels worth it,high risk
I can't stop thinking about drinking,high risk
The urge to use is strong tonight,high risk
I don't care about staying sober today,high risk
I miss the feeling of being high,high risk
I might relapse if this keeps up,high risk
I feel broken and want to disappear,high risk
I am close to using again,high risk
I don't see the point in trying anymore,high risk
Everything feels pointless right now,high risk
I feel sad and want to use,high risk
I want to numb everything,high risk
Staying clean feels impossible tonight,high risk
I don't want to be here right now,high risk
I keep thinking about getting drunk,high risk
I feel okay today,positive
I had a peaceful day,positive
Things are getting a little better,positive
I feel more in control today,positive
I handled a tough moment well,positive
I feel steady and grounded,positive
I made a healthy choice today,positive
I feel motivated to keep going,positive
I am proud of small wins today,positive
I feel a bit lighter today,positive
I woke up and had breakfast,neutral
I ran some errands today,neutral
I spent time on my phone,neutral
I went outside for a bit,neutral
I followed my normal routine,neutral
I had a quiet day,neutral
I watched TV most of the day,neutral
I didn’t do much today,neutral
I stayed busy with small tasks,neutral
I went through my usual schedule,neutral
I feel off today,negative
I’m not feeling like myself,negative
I feel low energy today,negative
I’m having a hard day,negative
I feel emotionally drained,negative
I’m struggling with my thoughts,negative
I feel uneasy and tense,negative
I feel disconnected from everything,negative
I’m finding it hard to focus,negative
I feel discouraged today,negative
I’ve been thinking about using again,high risk
I feel close to relapsing,high risk
I don’t trust myself right now,high risk
I feel like I might slip,high risk
The urge is getting stronger,high risk
I keep thinking about going back,high risk
I feel like I’m losing control,high risk
I’m worried I might use again,high risk
I feel like giving in,high risk
I don’t feel safe in my thoughts right now,high risk
I feel okay today,neutral
I feel fine today,neutral
Today is alright,neutral
Nothing special happened today,neutral
I’m doing okay,neutral
Things feel stable today,neutral



